Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,last_weekly_sales
1,2010-02-12,38.51,2.548,,,,,,211.24217,8.106,true,1643690.9001084566
1,2010-02-19,39.93,2.514,,,,,,211.28914,8.106,false,1641957.4426116943
1,2010-02-26,46.63,2.561,,,,,,211.31964,8.106,false,1611968.1764469147
1,2010-03-05,46.5,2.625,,,,,,211.35014,8.106,false,1409727.5874557495
1,2010-03-12,57.79,2.667,,,,,,211.38065,8.106,false,1554806.6763401031
1,2010-03-19,54.58,2.72,,,,,,211.21564,8.106,false,1439541.5944108963
1,2010-03-26,51.45,2.732,,,,,,211.01804,8.106,false,1472515.7944917679
1,2010-04-02,62.27,2.719,,,,,,210.82045,7.808,false,1404429.9239730835
1,2010-04-09,65.86,2.77,,,,,,210.62286,7.808,false,1594968.2723388672
1,2010-04-16,66.32,2.808,,,,,,210.4887,7.808,false,1545418.5438632965
1,2010-04-23,64.84,2.795,,,,,,210.43912,7.808,false,1466058.2847671509
1,2010-04-30,67.41,2.78,,,,,,210.38954,7.808,false,1391256.1353664398
1,2010-05-07,72.55,2.835,,,,,,210.33997,7.808,false,1425100.7196540833
1,2010-05-14,74.78,2.854,,,,,,210.33743,7.808,false,1603955.1311798096
1,2010-05-21,76.44,2.826,,,,,,210.6171,7.808,false,1494251.4978075027
1,2010-05-28,80.44,2.759,,,,,,210.89676,7.808,false,1399662.0720090866
1,2010-06-04,80.69,2.705,,,,,,211.17642,7.808,false,1432069.9556274414
1,2010-06-11,80.43,2.668,,,,,,211.4561,7.808,false,1615524.7124419212
1,2010-06-18,84.11,2.637,,,,,,211.45377,7.808,false,1542561.0862487853
1,2010-06-25,84.34,2.653,,,,,,211.33865,7.808,false,1503284.0586948395
1,2010-07-02,80.91,2.669,,,,,,211.22353,7.787,false,1422711.5977859497
1,2010-07-09,80.48,2.642,,,,,,211.10841,7.787,false,1492418.1446054075
1,2010-07-16,83.15,2.623,,,,,,211.10039,7.787,false,1546074.1849441528
1,2010-07-23,83.36,2.608,,,,,,211.23514,7.787,false,1448938.9173049927
1,2010-07-30,81.84,2.64,,,,,,211.3699,7.787,false,1385065.1930856705
1,2010-08-06,87.16,2.627,,,,,,211.50467,7.787,false,1371986.604084015
1,2010-08-13,87.0,2.692,,,,,,211.63942,7.787,false,1605491.7867479324
1,2010-08-20,86.65,2.664,,,,,,211.60336,7.787,false,1508237.7562584877
1,2010-08-27,85.22,2.619,,,,,,211.5673,7.787,false,1513080.4910068512
1,2010-09-03,81.21,2.577,,,,,,211.53125,7.787,false,1449142.922668457
1,2010-09-10,78.69,2.565,,,,,,211.4952,7.787,true,1540163.5338230133
